regionName,region,regionLongName,LR,Lobe,LR_lobe_regionName,IC,performance,volmm3,scan1,scan2,scan3,scan4,ScanCount
MTG_tempocc_L,MTG_tempocc,Middle_Temporal_Gyrus_temporooccipital_L,L,Temp,L_Temp_MTG_tempocc,2,low,6824,,,,0.002178,1
MTG_tempocc_R,MTG_tempocc,Middle_Temporal_Gyrus_temporooccipital_R,R,Temp,R_Temp_MTG_tempocc,1,high,9208,,0.000697,0.000919,0.000297,3
MTG_tempocc_R,MTG_tempocc,Middle_Temporal_Gyrus_temporooccipital_R,R,Temp,R_Temp_MTG_tempocc,1,low,9208,,0.002172,0.001354,0.001133,3
MTG_tempocc_R,MTG_tempocc,Middle_Temporal_Gyrus_temporooccipital_R,R,Temp,R_Temp_MTG_tempocc,3,high,9208,0.001202,0.000516,0.000703,0.000761,4
MTG_tempocc_R,MTG_tempocc,Middle_Temporal_Gyrus_temporooccipital_R,R,Temp,R_Temp_MTG_tempocc,3,low,9208,0.000859,0.000831,0.001137,0.00061,4
OFC_L,OFC,Frontal_Orbital_Cortex_L,L,Fr,L_Fr_OFC,2,high,13624,,,,0.000429,1
OFC_L,OFC,Frontal_Orbital_Cortex_L,L,Fr,L_Fr_OFC,2,low,13624,,,,0.001739,1
OFC_L,OFC,Frontal_Orbital_Cortex_L,L,Fr,L_Fr_OFC,4,high,13624,,0.000419,,0.00027,2
OFC_L,OFC,Frontal_Orbital_Cortex_L,L,Fr,L_Fr_OFC,4,low,13624,,0.000587,,0.001119,2
OFC_R,OFC,Frontal_Orbital_Cortex_R,R,Fr,R_Fr_OFC,3,high,11560,,0.000363,,0.000575,2
OFC_R,OFC,Frontal_Orbital_Cortex_R,R,Fr,R_Fr_OFC,3,low,11560,,0.000735,,0.000539,2
OFC_R,OFC,Frontal_Orbital_Cortex_R,R,Fr,R_Fr_OFC,4,high,11560,,0.000453,,,1
OFC_R,OFC,Frontal_Orbital_Cortex_R,R,Fr,R_Fr_OFC,4,low,11560,,0.000389,,,1
PAC_L,PAC,Paracingulate_Gyrus_L,L,Fr,L_Fr_PAC,2,high,10688,,,,0.000312,1
PAC_L,PAC,Paracingulate_Gyrus_L,L,Fr,L_Fr_PAC,2,low,10688,,,,0.000859,1
PAC_L,PAC,Paracingulate_Gyrus_L,L,Fr,L_Fr_PAC,4,high,10688,,0.000505,,0.000252,2
PAC_L,PAC,Paracingulate_Gyrus_L,L,Fr,L_Fr_PAC,4,low,10688,,0.000579,,0.000786,2
PAC_R,PAC,Paracingulate_Gyrus_R,R,Fr,R_Fr_PAC,3,high,10952,0.002584,0.000465,0.000871,0.0008,4
PAC_R,PAC,Paracingulate_Gyrus_R,R,Fr,R_Fr_PAC,3,low,10952,0.00089,0.001307,0.001308,0.001062,4
PAC_R,PAC,Paracingulate_Gyrus_R,R,Fr,R_Fr_PAC,4,high,10952,,0.000873,0.000875,0.000319,3
PAC_R,PAC,Paracingulate_Gyrus_R,R,Fr,R_Fr_PAC,4,low,10952,,0.000774,0.001854,0.001125,3
PCu_R,PCu,Precuneous_Cortex_R,R,Occ,R_Occ_PCu,3,high,22408,,0.000513,,0.00075,2
PCu_R,PCu,Precuneous_Cortex_R,R,Occ,R_Occ_PCu,3,low,22408,,0.000682,,0.00075,2
PhG_post_L,PhG_post,Parahippocampal_Gyrus_posterior_L,L,Temp,L_Temp_PhG_post,2,high,3120,0.00038,,,,1
PhG_post_L,PhG_post,Parahippocampal_Gyrus_posterior_L,L,Temp,L_Temp_PhG_post,2,low,3120,0.000392,,,,1
PhG_post_R,PhG_post,Parahippocampal_Gyrus_posterior_R,R,Temp,R_Temp_PhG_post,3,high,2560,,,,0.000302,1
PhG_post_R,PhG_post,Parahippocampal_Gyrus_posterior_R,R,Temp,R_Temp_PhG_post,3,low,2560,,,,0.00076,1
PL_Op_R,PL_Op,Parietal_Operculum_Cortex_R,R,Par,R_Par_PL_Op,1,high,4344,,,,0.000192,1
PL_Op_R,PL_Op,Parietal_Operculum_Cortex_R,R,Par,R_Par_PL_Op,1,low,4344,,,,0.000422,1
PoG_R,PoG,Postcentral_Gyrus_R,R,Par,R_Par_PoG,3,high,25968,,,,0.000242,1
PoG_R,PoG,Postcentral_Gyrus_R,R,Par,R_Par_PoG,3,low,25968,,,,0.000457,1
PP_L,PP,Planum_Polare_L,L,Temp,L_Temp_PP,1,high,2880,,0.00076,0.001039,0.000372,3
PP_L,PP,Planum_Polare_L,L,Temp,L_Temp_PP,1,low,2880,,0.003213,0.00179,0.001801,3
PrG_R,PrG,Precentral_Gyrus_R,R,Fr,R_Fr_PrG,3,high,33192,,0.000406,,0.000408,2
PrG_R,PrG,Precentral_Gyrus_R,R,Fr,R_Fr_PrG,3,low,33192,,0.001166,,0.000941,2
PT_L,PT,Planum_Temporale_L,L,Temp,L_Temp_PT,1,high,4264,0.004138,0.001133,0.001861,,3
PT_L,PT,Planum_Temporale_L,L,Temp,L_Temp_PT,1,low,4264,0.001179,0.006042,0.004337,,3
PT_R,PT,Planum_Temporale_R,R,Temp,R_Temp_PT,1,high,3352,0.002839,0.000932,0.002183,0.000434,4
PT_R,PT,Planum_Temporale_R,R,Temp,R_Temp_PT,1,low,3352,0.001367,0.004335,0.002793,0.003107,4
Pu_L,Pu,Putamen_L,L,Subcort,L_Subcort_Pu,4,high,6392,,,,0.000152,1
Pu_L,Pu,Putamen_L,L,Subcort,L_Subcort_Pu,4,low,6392,,,,0.00046,1
Pu_R,Pu,Putamen_R,R,Subcort,R_Subcort_Pu,4,high,6368,,0.000232,,0.00017,2
Pu_R,Pu,Putamen_R,R,Subcort,R_Subcort_Pu,4,low,6368,,0.000183,,0.000325,2
SCLC_L,SCLC,Supracalcarine_Cortex_L,L,Occ,L_Occ_SCLC,1,high,576,,,,0.000152,1
SCLC_L,SCLC,Supracalcarine_Cortex_L,L,Occ,L_Occ_SCLC,1,low,576,,,,0.000685,1
SCLC_R,SCLC,Supracalcarine_Cortex_R,R,Occ,R_Occ_SCLC,1,high,1128,0.000743,,,0.000144,2
SCLC_R,SCLC,Supracalcarine_Cortex_R,R,Occ,R_Occ_SCLC,1,low,1128,0.000132,,,0.000721,2
SCLC_R,SCLC,Supracalcarine_Cortex_R,R,Occ,R_Occ_SCLC,3,high,1128,,,,0.000394,1
SCLC_R,SCLC,Supracalcarine_Cortex_R,R,Occ,R_Occ_SCLC,3,low,1128,,,,0.000303,1
SFG_L,SFG,Superior_Frontal_Gyrus_L,L,Fr,L_Fr_SFG,2,high,20304,0.001976,0.000571,,0.000625,3
SFG_L,SFG,Superior_Frontal_Gyrus_L,L,Fr,L_Fr_SFG,2,low,20304,0.001335,0.002516,,0.002431,3
